,,1st sol.,,,best sol.,,,,obj. switch,,,best sol.,,,
Instance,N ops,obj.,gap,time,obj.,gap,time,LB,obj.,gap,time,obj.,gap,time,Cost LB
01,16,32,0,0.02,32*,0,0.02,32,138250,0.38,0.23,100250*,0,0.26,100250
02,29,166,3.61,0.07,36*,0,0.07,36,125500,0.08,0.49,116000,0.01,1.48,115989
03,41,72,0.53,0.14,47*,0,0.15,47,324250,0.15,0.81,284750,0.01,19.59,283000
04,54,47,0.34,0.43,35*,0,0.45,35,226250,0.22,1.51,189500,0.02,153.99,185250
05,63,76,0.38,0.46,55*,0,0.51,55,469750,0.16,1.08,412250,0.02,67.18,405000
06,105,249,0.73,0.55,144*,0,1.05,144,742500,0.20,42.37,687750,0.11,1739.50,619000
07,104,235,0.78,0.66,132*,0,1.38,132,914000,0.16,1.94,873500,0.11,25.54,790750
08,111,100,0.32,0.56,76*,0,1.08,76,591250,0.17,2.86,541750,0.07,16.58,505250
09,145,132,0.59,0.62,87,0.05,7.85,83,766750,0.17,2401.06,749750,0.15,2428.92,653250
10,126,242,1.28,0.57,110,0.04,2.60,106,772000,0.19,2401.04,729500,0.12,2424.98,651250
20,294,1658,2.03,1.48,574,0.05,21.67,548,3428750,0.18,2401.99,3132500,0.08,2543.88,2908750
30,442,677,0.16,1.61,607,0.04,113.61,583,4651500,0.15,2402.62,4436500,0.10,2875.37,4052000
40,588,1888,1.83,5.49,690,0.03,547.91,668,4726750,0.16,2402.96,4453750,0.10,3362.61,4061500
50,729,1888,1.38,7.42,869,0.09,104.45,795,5812500,0.13,2401.92,5671750,0.10,3118.61,5148000
60,890,1184,0.54,25.16,844,0.10,477.57,769,7486750,0.16,2403.34,7157250,0.11,3544.60,6430500
70,1028,837,0.62,30.61,615,0.19,711.38,517,6373250,0.16,2403.42,6273500,0.15,3583.29,5477500
80,1166,945,0.13,92.13,932,0.11,258.47,838,7779500,0.15,2403.65,7621000,0.13,3538.19,6741500
90,1310,1066,0.17,97.57,1053,0.16,739.67,909,9883750,0.17,2404.26,9647500,0.14,3521.01,8483750
Full,1459,1127,0.20,178.82,1099,0.17,2317.62,943,10673750,0.16,2403.99,10604000,0.15,3593.69,9206000